"","SPECIES","BOULT REEF.1","BOULT REEF.2","BOULT REEF.3","BROOMFIELD REEF.1","BROOMFIELD REEF.2","BROOMFIELD REEF.3","ERSKINE REEF.1","ERSKINE REEF.2","ERSKINE REEF.3","FAIRFAX ISLANDS REEF.1","FAIRFAX ISLANDS REEF.2","FAIRFAX ISLANDS REEF.3","HOSKYN ISLANDS REEF.1","HOSKYN ISLANDS REEF.2","HOSKYN ISLANDS REEF.3","LADY MUSGRAVE REEF.1","LADY MUSGRAVE REEF.2","LADY MUSGRAVE REEF.3","MAST HEAD REEF.1","MAST HEAD REEF.2","MAST HEAD REEF.3","NORTH REEF (NORTH).1","NORTH REEF (NORTH).2","NORTH REEF (NORTH).3"
"239","Scarus chameleon",0,2.66666666666667,0,0.8,0.266666666666667,0,1.86666666666667,1.33333333333333,4.26666666666667,1.6,4.53333333333333,0.266666666666667,0.266666666666667,1.86666666666667,0,0.533333333333333,0,0.8,0.266666666666667,1.33333333333333,1.06666666666667,1.6,0.266666666666667,0.266666666666667
"240","Scarus dimidiatus",0,0,0,0,0,0,0,0,0.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241","Scarus flavipectoralis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"242","Scarus forsteni",0.266666666666667,0.533333333333333,0.266666666666667,0,0,0,0,0,0,0,0,0,0.533333333333333,0.533333333333333,1.06666666666667,0,0,0.266666666666667,0,0.266666666666667,0,0,0,0
"243","Scarus frenatus",0.8,2.13333333333333,0.8,2.93333333333333,1.06666666666667,1.06666666666667,0.266666666666667,1.06666666666667,0,2.66666666666667,3.73333333333333,4.26666666666667,1.6,4.53333333333333,3.73333333333333,2.66666666666667,0.8,4.26666666666667,0.8,0.533333333333333,0.8,1.6,1.33333333333333,2.13333333333333
"244","Scarus ghobban",0,0,0,0,0,0,0.533333333333333,0,1.6,0,0,0,0,0,0.266666666666667,0,0,0,0,1.33333333333333,0,0,0.266666666666667,0
"245","Scarus globiceps",3.2,3.2,19.2,17.6,16.2666666666667,2.66666666666667,2.4,1.86666666666667,1.06666666666667,5.33333333333333,17.8666666666667,5.33333333333333,8.53333333333333,20.8,5.86666666666667,12.8,10.6666666666667,2.66666666666667,0.266666666666667,8.26666666666667,1.86666666666667,8.8,6.93333333333333,0.266666666666667
"246","Scarus longipinnis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"247","Scarus niger",2.4,2.13333333333333,0.266666666666667,0.266666666666667,0.533333333333333,1.06666666666667,2.66666666666667,1.06666666666667,1.6,2.13333333333333,1.86666666666667,2.66666666666667,1.6,1.6,1.33333333333333,2.66666666666667,0,0,0.533333333333333,0.266666666666667,1.6,1.86666666666667,0,0.266666666666667
"248","Scarus oviceps",0.266666666666667,0,0,0,0,0,0,0.266666666666667,0,0.266666666666667,0,1.06666666666667,0.533333333333333,0.533333333333333,0.8,1.33333333333333,0,0,0,0,0,0,0,0
"249","Scarus psittacus",5.6,7.46666666666667,25.8666666666667,10.6666666666667,20.5333333333333,1.6,0.533333333333333,2.66666666666667,0.8,21.8666666666667,22.9333333333333,7.2,5.6,34.6666666666667,4.8,17.8666666666667,14.4,6.93333333333333,1.33333333333333,5.06666666666667,0,7.73333333333333,6.13333333333333,3.73333333333333
"250","Scarus rivulatus",0.266666666666667,0.266666666666667,0,0.266666666666667,0,1.6,3.2,2.13333333333333,0,1.33333333333333,0,0,0.266666666666667,0,2.4,7.2,0.8,0.8,1.06666666666667,19.4666666666667,0,0,0,0
"251","Scarus rubroviolaceus",0,0,0.8,0,0,0,0,0,0,0,0.266666666666667,0,0.266666666666667,0.533333333333333,1.6,0.533333333333333,0,0.266666666666667,0,0,0,0.8,0,0.266666666666667
"252","Scarus schlegeli",0.533333333333333,0.533333333333333,0.266666666666667,0.533333333333333,0,0,3.46666666666667,1.6,5.6,1.86666666666667,0,0,0,0.266666666666667,1.6,0.8,0.266666666666667,0,2.66666666666667,4.26666666666667,1.6,0.266666666666667,0,0
"253","Scarus spinus",0,1.06666666666667,0,0,0,0,0,0,0,0,0.533333333333333,0.533333333333333,1.33333333333333,1.33333333333333,0,0.8,0,0,0,0,0,0,0,0
"254","Scarus spp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"255","Siganus argenteus",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"256","Siganus corallinus",0.533333333333333,0,0,0.533333333333333,0.533333333333333,0.533333333333333,0,1.33333333333333,0,1.33333333333333,0.266666666666667,0.8,1.33333333333333,0,0.266666666666667,0,0,0,0,0,0,0,0,0.266666666666667
"257","Siganus doliatus",0,0,0,0,0,0.8,6.93333333333333,4,2.4,0,0,0,0,0,0,0,0,0,0.533333333333333,0,1.06666666666667,0,0,0
"258","Siganus fuscescens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"259","Siganus javus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"260","Siganus lineatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"261","Siganus puellus",0,0,0,0,0,0,0.533333333333333,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"262","Siganus punctatissimus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"263","Siganus punctatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533333333333333,0,0,0,0,0,0,0,0,0
"264","Siganus spinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"265","Siganus vulpinus",0.266666666666667,0,0,0,0,0,0,0.533333333333333,0,0,0,0,0.533333333333333,0,0,0,0,0,0,0,0,0,0,0
"266","Stegastes apicalis",0,0,0,0,0,0,6.66666666666667,12,0,0,0,0,4,9.33333333333333,0,0,0,0,1.33333333333333,0,0,0,0,0
"267","Stegastes fasciolatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"268","Stegastes gascoynei",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"269","Stegastes nigricans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"270","Symphorus nematophorus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"271","Variola albimarginata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"272","Variola louti",0,0,0,0,0,0.266666666666667,0,0,0,0.266666666666667,0,0,0.266666666666667,0,0.266666666666667,0,0,0.266666666666667,0,0,0,0.266666666666667,0.533333333333333,0.266666666666667
"273","Zanclus cornutus",0.8,0.8,0,0.533333333333333,0,0.266666666666667,0,0,0,0,0,0.266666666666667,0.533333333333333,0.533333333333333,0,0.266666666666667,0,0.533333333333333,0,0,0,0,0.266666666666667,0.533333333333333
"274","Zebrasoma scopas",5.33333333333333,3.46666666666667,0.266666666666667,3.2,1.33333333333333,2.66666666666667,0,1.86666666666667,0,4.26666666666667,2.66666666666667,3.2,5.06666666666667,18.1333333333333,2.4,6.13333333333333,0,0,0,0,0,3.46666666666667,2.93333333333333,0.266666666666667
"275","Zebrasoma veliferum",0,0,0,0.533333333333333,0,0,0,0.533333333333333,0.266666666666667,0.533333333333333,0.533333333333333,0.8,0.266666666666667,0,1.06666666666667,0.266666666666667,0,0,0.266666666666667,0.533333333333333,0,0,0,0
